label	replace by
abler b, 2006, neuroimage, v31, p790, doi 10.1016/j.neuroimage.2006.01.001	abler (2006)
adams ra, 2013, brain struct funct, v218, p611, doi 10.1007/s00429-012-0475-5	adams (2013a)
adams rick a, 2013, front psychiatry, v4, p47, doi 10.3389/fpsyt.2013.00047	adams (2013b)
adcock ra, 2006, neuron, v50, p507, doi 10.1016/j.neuron.2006.03.036	adcock (2006)
aiken l.s., 1991, multiple regression	aiken (1991)
akaike h, 1974, ieee t automat contr, vac19, p716, doi 10.1109/tac.1974.1100705	akaike (1974)
alexander ge, 1986, annu rev neurosci, v9, p357, doi 10.1146/annurev.ne.09.030186.002041	alexander (1986)
alexander wh, 2011, nat neurosci, v14, p1338, doi 10.1038/nn.2921	alexander (2011)
alfei jm, 2015, learn memory, v22, p385, doi 10.1101/lm.038513.115	alfei (2015)
american psychiatric association (apa), 2000, diagn stat man ment	american (2000)
american psychiatric association, 1994, diagn stat man ment	american (1994)
american psychiatric association, 2013, diagn stat man ment	american (2013)
amiez c, 2005, eur j neurosci, v21, p3447, doi 10.1111/j.1460-9568.2005.04170.x	amiez (2005)
amodio dm, 2006, nat rev neurosci, v7, p268, doi 10.1038/nrn1884	amodio (2006)
aron ar, 2004, j neurophysiol, v92, p1144, doi 10.1152/jn.01209.2003	aron (2004)
aston-jones g, 2005, annu rev neurosci, v28, p403, doi 10.1146/annurev.neuro.28.061604.135709	aston-jones (2005)
baillargeon r, 1985, cognition, v20, p191, doi 10.1016/0010-0277(85)90008-3	baillargeon (1985)
baker te, 2011, biol psychol, v87, p25, doi 10.1016/j.biopsycho.2011.01.010	baker (2011)
balleine bw, 1998, neuropharmacology, v37, p407, doi 10.1016/s0028-3908(98)00033-1	balleine (1998)
balleine bw, 2010, neuropsychopharmacol, v35, p48, doi 10.1038/npp.2009.131	balleine (2010)
bar m, 2007, trends cogn sci, v11, p280, doi 10.1016/j.tics.2007.05.005	bar (2007)
baron rm, 1986, j pers soc psychol, v51, p1173, doi 10.1037/0022-3514.51.6.1173	baron (1986)
barr dj, 2013, j mem lang, v68, p255, doi 10.1016/j.jml.2012.11.001	barr (2013)
bartholow bd, 2001, psychol sci, v12, p197, doi 10.1111/1467-9280.00336	bartholow (2001)
barto a. g., 1995, models inform proces, p215	barto (1995)
bartra o, 2013, neuroimage, v76, p412, doi 10.1016/j.neuroimage.2013.02.063	bartra (2013)
bastos am, 2012, neuron, v76, p695, doi 10.1016/j.neuron.2012.10.038	bastos (2012)
bates d, 2015, j stat softw, v67, p1, doi 10.18637/jss.v067.i01	bates (2015)
baumeister r. f., 2001, rev gen psychol, v5, p323, doi 10.1037/1089-2680.5.4.323	baumeister (2001)
bayer hm, 2005, neuron, v47, p129, doi 10.1016/j.neuron.2005.05.020	bayer (2005)
beck a.t., 1979, cognitive therapy de	beck (1979)
becker mpi, 2014, j neurosci, v34, p3005, doi 10.1523/jneurosci.3684-13.2014	becker (2014)
behrens tej, 2007, nat neurosci, v10, p1214, doi 10.1038/nn1954	behrens (2007)
behrens tej, 2008, nature, v456, p245, doi 10.1038/nature07538	behrens (2008)
bellebaum c, 2008, eur j neurosci, v27, p1823, doi 10.1111/j.1460-9568.2008.06138.x	bellebaum (2008)
bellebaum c, 2010, cereb cortex, v20, p2874, doi 10.1093/cercor/bhq038	bellebaum (2010b)
bellebaum c, 2010, neuropsychologia, v48, p3343, doi 10.1016/j.neuropsychologia.2010.07.023	bellebaum (2010a)
belova ma, 2007, neuron, v55, p970, doi 10.1016/j.neuron.2007.08.004	belova (2007)
belsky j, 1985, j marriage fam, v47, p1037, doi 10.2307/352348	belsky (1985)
belsky j, 1986, j pers soc psychol, v50, p517, doi 10.1037/0022-3514.50.3.517	belsky (1986)
benjamini y, 1995, j r stat soc b, v57, p289, doi 10.1111/j.2517-6161.1995.tb02031.x	benjamini (1995)
berns gs, 2001, j neurosci, v21, p2793, doi 10.1523/jneurosci.21-08-02793.2001	berns (2001)
berridge kc, 1998, brain res rev, v28, p309, doi 10.1016/s0165-0173(98)00019-8	berridge (1998)
berridge kc, 2007, psychopharmacology, v191, p391, doi 10.1007/s00213-006-0578-x	berridge (2007)
berridge kc, 2012, eur j neurosci, v35, p1124, doi 10.1111/j.1460-9568.2012.07990.x	berridge (2012)
botvinick m, 1999, nature, v402, p179, doi 10.1038/46035	botvinick (1999)
botvinick mm, 2001, psychol rev, v108, p624, doi 10.1037//0033-295x.108.3.624	botvinick (2001)
botvinick mm, 2004, trends cogn sci, v8, p539, doi 10.1016/j.tics.2004.10.003	botvinick (2004)
botvinick mm, 2007, cogn affect behav ne, v7, p356, doi 10.3758/cabn.7.4.356	botvinick (2007)
