id	cited reference	citations	total link strength
264	"abler b, 2006, neuroimage, v31, p790, doi 10.1016/j.neuroimage.2006.01.001"	23	429
422	"adams ra, 2013, brain struct funct, v218, p611, doi 10.1007/s00429-012-0475-5"	15	194
430	"adams rick a, 2013, front psychiatry, v4, p47, doi 10.3389/fpsyt.2013.00047"	18	317
442	"adcock ra, 2006, neuron, v50, p507, doi 10.1016/j.neuron.2006.03.036"	20	461
646	"aiken l.s., 1991, multiple regression"	15	42
684	"akaike h, 1974, ieee t automat contr, vac19, p716, doi 10.1109/tac.1974.1100705"	13	111
841	"alexander ge, 1986, annu rev neurosci, v9, p357, doi 10.1146/annurev.ne.09.030186.002041"	17	323
863	"alexander wh, 2011, nat neurosci, v14, p1338, doi 10.1038/nn.2921"	42	916
876	"alfei jm, 2015, learn memory, v22, p385, doi 10.1101/lm.038513.115"	11	163
1138	"american psychiatric association (apa), 2000, diagn stat man ment"	15	91
1142	"american psychiatric association, 1994, diagn stat man ment"	11	28
1148	"american psychiatric association, 2013, diagn stat man ment"	21	165
1166	"amiez c, 2005, eur j neurosci, v21, p3447, doi 10.1111/j.1460-9568.2005.04170.x"	11	353
1195	"amodio dm, 2006, nat rev neurosci, v7, p268, doi 10.1038/nrn1884"	12	186
1855	"aron ar, 2004, j neurophysiol, v92, p1144, doi 10.1152/jn.01209.2003"	11	281
2050	"aston-jones g, 2005, annu rev neurosci, v28, p403, doi 10.1146/annurev.neuro.28.061604.135709"	18	299
2545	"baillargeon r, 1985, cognition, v20, p191, doi 10.1016/0010-0277(85)90008-3"	17	61
2657	"baker te, 2011, biol psychol, v87, p25, doi 10.1016/j.biopsycho.2011.01.010"	13	322
2783	"balleine bw, 1998, neuropharmacology, v37, p407, doi 10.1016/s0028-3908(98)00033-1"	11	291
2790	"balleine bw, 2010, neuropsychopharmacol, v35, p48, doi 10.1038/npp.2009.131"	13	294
2951	"bar m, 2007, trends cogn sci, v11, p280, doi 10.1016/j.tics.2007.05.005"	10	179
3194	"baron rm, 1986, j pers soc psychol, v51, p1173, doi 10.1037/0022-3514.51.6.1173"	22	40
3228	"barr dj, 2013, j mem lang, v68, p255, doi 10.1016/j.jml.2012.11.001"	10	86
3366	"bartholow bd, 2001, psychol sci, v12, p197, doi 10.1111/1467-9280.00336"	12	58
3380	"barto a. g., 1995, models inform proces, p215"	16	435
3401	"bartra o, 2013, neuroimage, v76, p412, doi 10.1016/j.neuroimage.2013.02.063"	19	392
3471	"bastos am, 2012, neuron, v76, p695, doi 10.1016/j.neuron.2012.10.038"	22	331
3488	"bates d, 2015, j stat softw, v67, p1, doi 10.18637/jss.v067.i01"	18	97
3612	"baumeister r. f., 2001, rev gen psychol, v5, p323, doi 10.1037/1089-2680.5.4.323"	11	63
3677	"bayer hm, 2005, neuron, v47, p129, doi 10.1016/j.neuron.2005.05.020"	39	812
3812	"beck a.t., 1979, cognitive therapy de"	13	100
3877	"becker mpi, 2014, j neurosci, v34, p3005, doi 10.1523/jneurosci.3684-13.2014"	11	282
3996	"behrens tej, 2007, nat neurosci, v10, p1214, doi 10.1038/nn1954"	57	1083
3997	"behrens tej, 2008, nature, v456, p245, doi 10.1038/nature07538"	27	435
4108	"bellebaum c, 2008, eur j neurosci, v27, p1823, doi 10.1111/j.1460-9568.2008.06138.x"	35	844
4109	"bellebaum c, 2010, cereb cortex, v20, p2874, doi 10.1093/cercor/bhq038"	13	321
4110	"bellebaum c, 2010, neuropsychologia, v48, p3343, doi 10.1016/j.neuropsychologia.2010.07.023"	11	368
4148	"belova ma, 2007, neuron, v55, p970, doi 10.1016/j.neuron.2007.08.004"	10	254
4158	"belsky j, 1985, j marriage fam, v47, p1037, doi 10.2307/352348"	18	68
4160	"belsky j, 1986, j pers soc psychol, v50, p517, doi 10.1037/0022-3514.50.3.517"	10	39
4300	"benjamini y, 1995, j r stat soc b, v57, p289, doi 10.1111/j.2517-6161.1995.tb02031.x"	13	107
4586	"berns gs, 2001, j neurosci, v21, p2793, doi 10.1523/jneurosci.21-08-02793.2001"	10	262
4617	"berridge kc, 1998, brain res rev, v28, p309, doi 10.1016/s0165-0173(98)00019-8"	20	371
4624	"berridge kc, 2007, psychopharmacology, v191, p391, doi 10.1007/s00213-006-0578-x"	17	473
4629	"berridge kc, 2012, eur j neurosci, v35, p1124, doi 10.1111/j.1460-9568.2012.07990.x"	14	231
6046	"botvinick m, 1999, nature, v402, p179, doi 10.1038/46035"	11	166
6057	"botvinick mm, 2001, psychol rev, v108, p624, doi 10.1037//0033-295x.108.3.624"	50	878
6058	"botvinick mm, 2004, trends cogn sci, v8, p539, doi 10.1016/j.tics.2004.10.003"	21	405
6060	"botvinick mm, 2007, cogn affect behav ne, v7, p356, doi 10.3758/cabn.7.4.356"	11	303
6138	"bouton me, 1983, j exp psychol anim b, v9, p248, doi 10.1037/0097-7403.9.3.248"	13	101
6153	"bouton me, 1993, psychol bull, v114, p80, doi 10.1037/0033-2909.114.1.80"	32	283
6164	"bouton me, 2002, biol psychiat, v52, p976, doi 10.1016/s0006-3223(02)01546-9"	17	244
6166	"bouton me, 2004, learn memory, v11, p485, doi 10.1101/lm.78804"	25	307
6406	"brainard dh, 1997, spatial vision, v10, p433, doi 10.1163/156856897x00357"	34	328
6877	"brischoux f, 2009, p natl acad sci usa, v106, p4894, doi 10.1073/pnas.0811507106"	10	267
6974	"bromberg-martin es, 2010, neuron, v68, p815, doi 10.1016/j.neuron.2010.11.022"	17	406
7125	"brown h, 2013, cogn process, v14, p411, doi 10.1007/s10339-013-0571-3"	13	138
7145	"brown jw, 2005, science, v307, p1118, doi 10.1126/science.1105783"	18	438
7388	"bubic a, 2010, front hum neurosci, v4, doi 10.3389/fnhum.2010.00025"	17	313
7669	"burgoon jk, 1988, commun monogr, v55, p58, doi 10.1080/03637758809376158"	15	5
7710	"burke cj, 2010, p natl acad sci usa, v107, p14431, doi 10.1073/pnas.1003111107"	16	341
7849	"bush g, 2000, trends cogn sci, v4, p215, doi 10.1016/s1364-6613(00)01483-2"	15	315
7856	"bush rr, 1951, psychol rev, v58, p313, doi 10.1037/h0054388"	13	232
7912	"bustos sg, 2009, neuropsychopharmacol, v34, p446, doi 10.1038/npp.2008.75"	10	152
8324	"campbell-meiklejohn dk, 2010, curr biol, v20, p1165, doi 10.1016/j.cub.2010.04.055"	10	140
8595	"carlson jm, 2011, neuroimage, v57, p1608, doi 10.1016/j.neuroimage.2011.05.037"	14	379
8751	"carter cs, 1998, science, v280, p747, doi 10.1126/science.280.5364.747"	26	540
8802	"carver cs, 1994, j pers soc psychol, v67, p319, doi 10.1037/0022-3514.67.2.319"	18	168
9025	"cavanagh jf, 2010, neuroimage, v49, p3198, doi 10.1016/j.neuroimage.2009.11.080"	24	503
9030	"cavanagh jf, 2012, cereb cortex, v22, p2575, doi 10.1093/cercor/bhr332"	13	250
9031	"cavanagh jf, 2012, psychophysiology, v49, p220, doi 10.1111/j.1469-8986.2011.01293.x"	11	231
9035	"cavanagh jf, 2014, trends cogn sci, v18, p414, doi 10.1016/j.tics.2014.04.012"	15	250
9358	"chase hw, 2011, j cognitive neurosci, v23, p936, doi 10.1162/jocn.2010.21456"	27	660
9842	"chowdhury r, 2013, nat neurosci, v16, p648, doi 10.1038/nn.3364"	15	234
10106	"clark a, 2013, behav brain sci, v36, p181, doi 10.1017/s0140525x12000477"	51	614
10461	"cohen j, 1983, appl multiple regres"	10	26
10463	"cohen j, 1992, psychol bull, v112, p155, doi 10.1037/0033-2909.112.1.155"	12	54
10472	"cohen j., 1988, stat power anal beha"	25	149
10474	"cohen j., 2003, appl multiple regres"	12	30
10492	"cohen jr, 2010, nat neurosci, v13, p669, doi 10.1038/nn.2558"	10	132
10494	"cohen jy, 2012, nature, v482, p85, doi 10.1038/nature10754"	10	236
10530	"cohen mx, 2007, j neurosci, v27, p371, doi 10.1523/jneurosci.4421-06.2007"	30	862
10531	"cohen mx, 2007, neuroimage, v35, p968, doi 10.1016/j.neuroimage.2006.11.056"	26	690
10545	"cohen mx, 2011, trends cogn sci, v15, p558, doi 10.1016/j.tics.2011.10.004"	12	354
10694	"collins age, 2012, eur j neurosci, v35, p1024, doi 10.1111/j.1460-9568.2011.07980.x"	11	163
11022	"cools r, 2002, j neurosci, v22, p4563, doi 10.1523/jneurosci.22-11-04563.2002"	12	226
11072	"cooper jc, 2012, j cognitive neurosci, v24, p106, doi 10.1162/jocn_a_00114"	10	198
11128	"corbetta m, 2002, nat rev neurosci, v3, p201, doi 10.1038/nrn755"	17	207
11174	"corlett pr, 2004, neuron, v44, p877, doi 10.1016/j.neuron.2004.11.022"	15	208
11176	"corlett pr, 2007, brain, v130, p2387, doi 10.1093/brain/awm173"	21	278
11177	"corlett pr, 2007, j psychopharmacol, v21, p238, doi 10.1177/0269881107077716"	13	181
11182	"corlett pr, 2009, psychopharmacology, v206, p515, doi 10.1007/s00213-009-1561-0"	10	173
11183	"corlett pr, 2010, prog neurobiol, v92, p345, doi 10.1016/j.pneurobio.2010.06.007"	13	251
11388	"courville ac, 2006, trends cogn sci, v10, p294, doi 10.1016/j.tics.2006.05.004"	20	377
11427	"cowan cp, 1985, j fam issues, v6, p451, doi 10.1177/019251385006004004"	10	45
11515	"craig ad, 2009, nat rev neurosci, v10, p59, doi 10.1038/nrn2555"	13	160
11577	"craske mg, 2008, behav res ther, v46, p5, doi 10.1016/j.brat.2007.10.003"	23	111
11581	"craske mg, 2014, behav res ther, v58, p10, doi 10.1016/j.brat.2014.04.006"	36	192
12110	"d'ardenne k, 2008, science, v319, p1264, doi 10.1126/science.1150605"	22	499
12311	"danielmeier c, 2011, front psychol, v2, doi 10.3389/fpsyg.2011.00233"	11	183
12640	"daw nd, 2002, neural networks, v15, p603, doi 10.1016/s0893-6080(02)00052-7"	18	452
12641	"daw nd, 2005, nat neurosci, v8, p1704, doi 10.1038/nn1560"	41	1010
12642	"daw nd, 2006, curr opin neurobiol, v16, p199, doi 10.1016/j.conb.2006.03.006"	13	217
12643	"daw nd, 2006, nature, v441, p876, doi 10.1038/nature04766"	30	665
12644	"daw nd, 2006, neural comput, v18, p1637, doi 10.1162/neco.2006.18.7.1637"	13	331
12650	"daw nd, 2011, neuron, v69, p1204, doi 10.1016/j.neuron.2011.02.027"	42	783
12701	"dayan p, 1995, neural comput, v7, p889, doi 10.1162/neco.1995.7.5.889"	10	193
12706	"dayan p, 2000, nat neurosci, v3, p1218, doi 10.1038/81504"	19	324
13156	"dehaene s, 1994, psychol sci, v5, p303, doi 10.1111/j.1467-9280.1994.tb00630.x"	15	311
13250	"delgado mr, 2000, j neurophysiol, v84, p3072"	20	469
13251	"delgado mr, 2003, cogn affect behav ne, v3, p27, doi 10.3758/cabn.3.1.27"	15	455
13252	"delgado mr, 2005, nat neurosci, v8, p1611, doi 10.1038/nn1575"	13	284
13253	"delgado mr, 2005, neuroimage, v24, p862, doi 10.1016/j.neuroimage.2004.10.002"	11	194
13255	"delgado mr, 2007, ann ny acad sci, v1104, p70, doi 10.1196/annals.1390.002"	13	373
13258	"delgado mr, 2008, philos t r soc b, v363, p3787, doi 10.1098/rstb.2008.0161"	13	271
13299	"delong ka, 2005, nat neurosci, v8, p1117, doi 10.1038/nn1504"	11	83
