"obj"	"replacement"
"GEHRING W. J., 2002, SCIENCE, V14, P593"	"GEHRING WJ, 2002, SCIENCE, V295, P2279, DOI 10.1126/SCIENCE.1066893"
"HOLROYD CB, 2002, PSYCHOL REV, V109, P679, DOI [10.1037//0033-295X.109.4.679, 10.1037/0033-295X.109.4.679]"	"HOLROYD CB, 2002, PSYCHOL REV, V109, P679, DOI 10.1037/0033-295X.109.4.679"
"HOLROYD CB, NEURAL BASI IN PRESS"	"HOLROYD CB, 2002, PSYCHOL REV, V109, P679, DOI 10.1037/0033-295X.109.4.679"
"RESCORLA R. A., 1972, CLASSICAL CONDITION, P64, DOI DOI 10.1101/GR.110528.110"	"RESCORLA RA, 1972, CLASSICAL CONDITION, P64, DOI DOI 10.1101/GR.110528.110"
"RESCORLA R, 1972, CLASSICAL CONDITIONI, V2"	"RESCORLA RA, 1972, CLASSICAL CONDITION, P64, DOI DOI 10.1101/GR.110528.110"
"RESCORLA RA, 1972, CLASSICAL CONDITIONI"	"RESCORLA RA, 1972, CLASSICAL CONDITION, P64, DOI DOI 10.1101/GR.110528.110"
"SUTTON R., 1998, REINFORCEMENT LEARNI"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON R.S., 1998, REINFORCEMENT LEARNI, V1"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON R. S., 1998, INTRO REINFORCEMENT"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON R, 1998, INTRO REINFORCEMENT, V135"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON R. S., 1998, REINFORCEMENT LEARNI, DOI [10.1109/TNN.1998.712192, DOI 10.1109/TNN.1998.712192]"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON R. S., 1998, REINFORCEMENT LEARNI, V9"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"SUTTON RS, 1998, REINFORCEMENT LEARNI, P18"	"SUTTON RS, 1998, REINFORCEMENT LEARNING: AN INTRODUCTION"
"O'DOHERTY J, 2004, SCIENCE, V304, P452, DOI 10.1126/SCIENCE.1094285"	"O'DOHERTY JP, 2004, SCIENCE, V304, P452, DOI 10.1126/SCIENCE.1094285"
