"obj"	"replacement"
"ACTIVATION"	" "
"ASSOCIATIONS"	" "
"BEHAVIOR"	" "
"BEHAVIORS"	" "
"BEHAVIOUR"	" "
"BEHAVIOURS"	" "
"BRAIN"	" "
"BRAIN RESPONSES"	" "
"BRAIN-RESPONSES"	" "
"BRAIN ACTIVITY"	" "
"CATEGORIES"	" "
"COGNITIVE"	" "
"COMPONENT"	" "
"COMPONENTS"	" "
"COMPUTATIONS"	" "
"CONSEQUENCES"	" "
"CONSTRAINTS"	" "
"CORTEX"	" "
"DECISIONS"	" "
"DETERMINANTS"	" "
"DYNAMIC"	" "
"DYNAMICS"	" "
"ENHANCEMENT"	" "
"EXPRESSION"	" "
"FRAMEWORK"	" "
"FOLLOW UP"	" "
"FOLLOW-UP"	" "
"FUNCTIONAL ANATOMY"	" "
"FUNCTIONAL-ANATOMY"	" "
"FUNCTIONAL NEUROANATOMY"	" "
"FUNCTIONAL-NEUROANATOMY"	" "
"FUTURE"	" "
"HUMAN"	" "
"HUMANS"	" "
"HUMAN BRAIN"	" "
"IMPACT"	" "
"INDIVIDUALS"	" "
"INFORMATION"	" "
"MECHANISMS"	" "
"MEDIAL"	" "
"METAANALYSIS"	" "
"META ANALYSIS"	" "
"META-ANALYSIS"	" "
"MODEL"	" "
"MODELS"	" "
"MODULATION"	" "
"MOTOR"	" "
"NEGATIVITY"	" "
"NETWORK MODEL"	" "
"NEURAL"	" "
"NEURAL MECHANISMS"	" "
"NEURAL-MECHANISMS"	" "
"NEURAL RESPONSES"	" "
"NEURAL-RESPONSES"	" "
"NEURAL SYSTEM"	" "
"NEURAL-SYSTEM"	" "
"NEURONAL-ACTIVITY"	" "
"NEURONS"	" "
"NUCLEUS"	" "
"PATTERNS"	" "
"PEOPLE"	" "
"PIGEONS"	" "
"POSITIVITY"	" "
"POTENTIALS"	" "
"PREDICTORS"	" "
"PREFRONTAL"	" "
"QUESTIONNAIRE"	" "
"SCALE"	" "
"SEQUENCES"	" "
"SIGNALS"	" "
"STIMULUS"	" "
"STIMULI"	" "
"SYMPTOM"	" "
"SYMPTOMS"	" "
"SYSTEM"	" "
"SYSTEMS"	" "
"TASK"	" "
"TASKS"	" "
"TEST"	" "
"TESTS"	" "
"TIME"	" "
"THERAPY"	" "
"WORDS"	" "
"VALIDITY"	" "
"ANTERIOR CINGULATE CORTEX"	"ACC"
"ANTERIOR-CINGULATE CORTEX"	"ACC"
"ANTERIOR-CINGULATE-CORTEX"	"ACC"
"ANTERIOR CINGULATE"	"ACC"
"ANTERIOR-CINGULATE"	"ACC"
"NUCLEUS-ACCUMBENS"	"ACCUMBENS"
"NUCLEUS-ACCUMBENS"	"ACCUMBENS"
"ADAPTION"	"ADAPTATION"
"ADJUSTMENTS"	"ADJUSTMENT"
"ADOLESCENTS"	"ADOLESCENT"
"ADULTS"	"ADULT"
"ALZHEIMERS-DISEASE"	"ALZHEIMERS"
"BASOLATERAL-AMYGDALA"	"AMYGDALA"
"BASOLATERAL AMYGDALA"	"AMYGDALA"
"ANTECEDENTS"	"ANTECEDENT"
"ANTISOCIAL-BEHAVIOR"	"ANTISOCIAL BEHAVIOR"
"ATTITUDE-CHANGE"	"ATTITUDE CHANGE"
"ANXIETY DISORDERS"	"ANXIETY"
"ATTITUDES"	"ATTITUDE"
"ATTRIBUTIONS"	"ATTRIBUTION"
"AUTOBIOGRAPHICAL MEMORY"	"BIOGRAPHICAL MEMORY"
"BOYS"	"BOY"
"DISORDERS"	"DISORDER"
"COGNITIVE BEHAVIORAL THERAPY"	"CBT"
"COGNITIVE-BEHAVIORAL THERAPY"	"CBT"
"COGNITIVE-BEHAVIORAL-THERAPY"	"CBT"
"COGNITIVE BEHAVIOURAL THERAPY"	"CBT"
"COGNITIVE-BEHAVIOURAL THERAPY"	"CBT"
"COGNITIVE-BEHAVIOURAL-THERAPY"	"CBT"
"CHILDREN"	"CHILD"
"COUPLES"	"COUPLE"
"COLUMBA-LIVIA"	"COLUMBA LIVIA"
"CONDUCT PROBLEMS"	"CONDUCT PROBLEM"
"CONDUCT-PROBLEMS"	"CONDUCT PROBLEM"
"MAJOR DEPRESSION"	"DEPRESSION"
"MAJOR-DEPRESSION"	"DEPRESSION"
